"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Sep-2022","EQ","791.00","806.00","787.00","792.60","803.90","802.85","795.95","863.00","650.20","1,436,359","1,143,266,051.20","45,133"
"29-Sep-2022","EQ","797.65","803.70","790.30","793.65","796.00","792.60","796.42","863.00","650.20","1,136,839","905,400,563.25","46,006"
"28-Sep-2022","EQ","795.95","804.20","790.05","797.85","792.75","793.65","797.86","863.00","650.20","1,415,083","1,129,034,327.85","43,356"
"27-Sep-2022","EQ","784.80","801.40","781.05","780.85","800.25","797.85","793.00","863.00","650.20","1,830,866","1,451,879,496.10","49,883"
"26-Sep-2022","EQ","779.00","785.95","762.00","781.55","785.95","780.85","774.93","863.00","650.20","1,431,943","1,109,649,394.30","57,299"
"23-Sep-2022","EQ","803.00","806.30","779.50","803.20","781.95","781.55","787.98","876.95","650.20","1,229,421","968,754,994.55","50,029"
"22-Sep-2022","EQ","800.55","807.75","788.00","804.20","804.50","803.20","799.27","876.95","650.20","1,255,234","1,003,266,269.05","36,633"
"21-Sep-2022","EQ","804.20","811.00","798.10","804.20","804.50","804.20","803.82","876.95","650.20","1,082,534","870,160,911.80","41,932"
"20-Sep-2022","EQ","797.00","812.90","795.95","793.00","803.00","804.20","805.80","876.95","650.20","1,547,208","1,246,746,666.40","39,270"
"19-Sep-2022","EQ","799.20","802.20","787.35","795.20","792.50","793.00","793.62","876.95","650.20","1,707,558","1,355,157,422.50","51,860"
"16-Sep-2022","EQ","839.70","839.70","791.20","837.40","797.80","795.20","803.33","887.40","650.20","4,786,431","3,845,097,014.20","118,904"
"15-Sep-2022","EQ","844.50","848.00","830.20","840.25","836.95","837.40","836.29","887.40","650.20","1,697,675","1,419,754,112.40","76,574"
"14-Sep-2022","EQ","842.90","861.15","838.55","849.00","840.00","840.25","847.94","887.40","650.20","3,818,926","3,238,220,358.85","89,504"
"13-Sep-2022","EQ","829.95","852.00","829.70","825.50","849.00","849.00","841.16","887.40","650.20","3,310,733","2,784,840,558.20","87,761"
